GyroY,MagZ,AngY,MagX,MagY,AngX,AngZ,AccX,AccY,AccZ,Timestamp,GyroZ,GyroX,Tag
-13.18359,-1.841667,-4.713135,28.0,10.95,77.49756000000001,99.61853,0.1411133,1.099609,0.028808590000000002,60462,-6.408691,0.5493163999999999,1
-12.87842,1.116667,-4.724121,24.26667,6.058333,78.38745,78.91479,0.2026367,1.05957,0.08447267,61622,-7.385254,11.41357,1
10.19287,1.383333,-7.272949,19.825,1.733333,74.93774,76.12427,0.1523438,0.9624022,0.009277344,62712,-11.47461,4.821777,1
-5.737305,77.09167,-5.042725,37.0,-95.15833,77.13501,79.04663,-0.015136720000000001,1.023926,-0.015625,63852,-4.150391,6.530762,1
-11.04736,1.816667,-4.735107,22.1,7.358333,77.55798,78.82141,0.052734380000000004,1.034668,-0.01660156,65032,-1.8310549999999999,5.493164,1
-4.394531,-1.783333,-4.65271,29.31667,10.30833,76.47583,65.22034,0.1494141,1.12207,-0.026367190000000002,66182,-7.751465,-1.708984,1
12.02393,-0.35000000000000003,-6.641235,18.75833,2.433333,79.10156,47.14233,-0.8930663999999999,1.427734,0.4155273,67332,46.38672,-18.12744,1
10.98633,-0.925,-6.113892,16.14167,-0.275,84.25415,39.43542,-0.125,0.7807617,0.11621089999999999,68542,-25.02441,-11.35254,1
-38.33008,-0.9833333999999999,-4.707642,15.33333,0.7083332999999999,79.45862,39.55078,0.06201172,0.9477538999999999,0.06445313,69742,-11.1084,-13.67188,1
-6.469727,-2.083333,-6.410522,14.80833,2.575,79.34875,31.72302,0.03076172,0.9238280999999999,0.2001953,71972,-25.57373,-2.441406,1
-26.48926,-0.925,-4.037476,14.8,0.6000000000000001,78.81592,19.96765,-0.11425779999999999,0.8125,0.1679688,73182,-14.4043,-3.78418,1
-9.033203,-0.17500000000000002,-4.476929,17.94167,0.2833333,77.87659,24.1864,0.08398438,0.8891603,0.01171875,74402,0.1831055,-13.61084,1
-22.70508,2.966667,-3.938599,20.2,0.7666666999999999,75.30579,33.57422,-0.05419922,0.9179687999999999,0.05371094,75622,0.6713867,-4.150391,1
-2.01416,0.36666669999999996,-4.394531,18.58333,3.966667,80.21667,26.64185,0.1689453,1.568359,0.3530273,76822,-15.07568,18.37158,1
23.80371,61.03333,-4.42749,56.04167,-94.0,80.2002,25.34546,0.1875,0.7827147999999999,0.2011719,78072,34.05762,-11.41357,1
6.408691,64.55833,-4.405518,55.91667,-92.85,76.76697,35.22217,0.16601559999999999,0.828125,-0.007324219000000001,79362,-18.37158,-14.64844,1
-1.708984,-1.233333,-4.031982,25.84167,8.675,75.68481,32.96997,0.09228517,1.09668,0.05908203,80672,-0.3051758,-3.723145,1
-20.32471,59.6,-7.223511,56.85,-92.46667,77.18445,26.10352,0.2749023,1.024414,0.2744141,81906,-8.361816,-1.098633,1
-12.39014,59.96667,-4.317627,58.13334,-91.61667,76.37695,26.64185,0.08789063,0.8955078,0.03613281,83172,0.24414059999999999,-14.16016,1
1.098633,2.325,-5.234985,24.64167,7.875,76.59119,27.58667,0.04638672,1.147461,-0.015625,84472,-1.403809,3.234863,1
8.544922,-1.15,-2.296143,13.76667,3.45,78.66211,28.31177,-0.060546880000000004,1.2158200000000001,0.2114258,85772,0.3662109,-1.098633,1
20.20264,-1.175,-4.2462159999999995,14.325,-0.4666667,77.07458,27.74597,0.21386719999999998,0.8227538999999999,0.125,87112,7.202148,-0.06103516,1
-3.78418,-0.7666666999999999,-5.943604,18.83333,4.15,77.73376,19.24255,-0.2304688,1.598633,0.5166016,88452,45.53223,0.24414059999999999,1
-31.86035,-0.9083334,-3.416748,14.38333,0.8,77.34924,22.05505,-0.04443359,0.8632812999999999,0.10888669999999999,89862,-9.887695,-12.57324,1
15.80811,-1.408333,-2.850952,18.10833,3.758333,75.91553,20.74768,0.20996089999999998,1.018066,0.6601562999999999,91282,-35.27832,8.911133,1
28.80859,0.8333332999999999,-5.350342,16.33333,0.6000000000000001,76.20667,24.27979,0.02929688,0.8681641999999999,0.01318359,92702,8.911133,-1.220703,1
-2.01416,-2.425,-6.251221,14.625,2.575,76.61865,28.71826,0.06005859,0.8627931,0.2529297,94212,-25.5127,-0.6103516,1
-10.43701,-0.3333333,-5.136108,27.675,8.766666,76.75598,16.13892,0.1020508,1.050781,-0.06982422,95622,1.342773,13.24463,1
32.40967,-1.241667,-3.532104,13.81667,2.725,76.60767,14.0625,0.2119141,0.8515625,0.2514648,97072,28.07617,-1.403809,1
17.45605,0.6000000000000001,-3.2958979999999998,34.24166,11.59167,75.84961,31.26709,0.140625,1.060059,0.04931641,98452,-0.6103516,10.19287,1
0.42724609999999996,-0.65,-4.064941,14.30833,2.591667,74.89929,33.00293,0.02978516,0.8457030999999999,0.253418,99892,-27.09961,-1.403809,1
-5.737305,2.083333,-3.510132,21.91667,10.375,73.99292,29.75647,0.02294922,1.183105,-0.09619142,101302,-1.281738,5.859375,1
-95.21484,-0.1666667,-3.114624,15.44167,1.75,78.72803,5.855713,0.2265625,0.6918945,0.27099609999999996,102722,-5.7983400000000005,-18.67676,1
-48.46191,-0.1916667,-6.146851,17.58333,4.583333,77.96448,-157.1375,0.159668,1.056152,0.42724609999999996,104132,-6.530762,0.12207029999999999,1
-25.75684,46.85833,-3.257446,-11.725,-80.50833,80.28259,-160.4608,-0.02734375,1.123535,-0.1201172,105562,0.42724609999999996,5.310059,1
-3.417969,-1.3,-1.571045,15.81667,0.6333333,83.5675,-160.4718,0.1025391,0.7055663999999999,0.1318359,107032,27.40479,-14.4043,1
-39.18457,-0.3333333,-4.54834,16.58333,3.733333,80.1123,-149.7876,-0.21728519999999998,1.010254,0.3193359,108522,31.79932,1.281738,1
-5.126953,1.016667,-1.741333,21.15,2.091667,80.26611,-151.6278,-0.11083979999999999,0.9077147,-0.02197266,109992,2.13623,5.432129,1
-18.9209,-1.666667,-1.516113,15.76667,-0.45,82.70508,-151.875,0.168457,0.7832030999999999,0.1279297,111572,20.75195,-11.04736,1
-11.96289,-0.8583333999999999,-3.856201,15.11667,3.275,79.67285,-145.3546,0.1762695,0.9472655999999999,0.37255859999999996,113072,-0.12207029999999999,-3.112793,1
-9.338379,42.75,-0.08239746,-4.491667,-84.01667,80.44739,-155.8575,0.1235352,1.010742,0.43457029999999996,114612,-27.58789,15.44189,1
6.530762,2.8,-3.136597,24.46667,5.425,77.83813,-150.282,0.2314453,0.8857421999999999,-0.06542969,116212,-7.080078,16.35742,1
-0.24414059999999999,-1.366667,-1.9885249999999999,14.85,0.8583333999999999,79.151,-147.9254,-0.1293945,0.8706056,0.1357422,117752,-13.00049,-16.8457,1
-25.39063,-0.7166667,-0.49438479999999996,16.68333,0.31666669999999997,80.00244,-154.3634,0.15869139999999998,0.7407227,0.1708984,119282,25.14648,-21.11816,1
-10.55908,-1.091667,-5.267944,13.325,2.483333,77.98096,-163.9929,0.1948242,0.9067383,0.24902339999999998,120902,-25.57373,8.972168,1
8.605957,-0.2833333,-0.2197266,15.24167,2.9333329999999997,81.50757,-159.2413,-0.05908203,0.8393556,0.21435549999999998,122512,-7.202148,-13.06152,1
-16.72363,-1.208333,-1.851196,15.05,5.35,79.7113,-149.5239,0.20166019999999998,1.137695,-0.04638672,124142,-5.371094,20.99609,1
-15.44189,1.5833329999999999,-1.9885249999999999,19.60833,-0.875,75.79468,-166.8329,-0.06201172,0.8725586,0.06103516,125772,4.272461,-10.98633,1
21.97266,-0.5916667,-3.043213,14.78333,0.6416666999999999,79.15649,-157.89,0.2529297,0.8168943999999999,0.1494141,127362,14.89258,0.1831055,1
-26.18408,-1.108333,-4.553833,14.56667,2.341667,79.89258,-161.6199,0.05712891,0.8930663999999999,0.2119141,128992,-35.52246,2.502441,1
-11.65771,-1.383333,-2.076416,15.075,1.158333,80.82092,-152.6056,0.1523438,0.8369141999999999,0.17041019999999998,130662,21.78955,-10.92529,1
