Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,AngX,AngY,AngZ,MagX,MagY,MagZ,Tag
496469,0.13525389999999998,-1.00293,-0.056640630000000004,17.82227,-12.69531,-25.39063,-107.655,0.4833984,-146.8597,-13.36667,-2.166667,1.291667,1
496670,0.2109375,-0.9404296999999999,-0.2226563,-1.281738,-0.6103516,-14.83154,-107.1497,-6.784058,-149.469,38.09167,-8.341666,93.325,1
496919,0.2114258,-1.158203,-0.3505859,1.7700200000000001,1.586914,22.33887,-106.4905,-6.097412,-150.0897,-21.74167,-0.7083332999999999,2.116667,-1
497189,-0.26318359999999996,-0.8564453,-0.08691406,-2.258301,-10.37598,24.84131,-103.2275,-2.219238,-151.853,-15.925,-1.616667,-2.066667,-1
497409,-0.20947269999999998,-0.9125977,-0.24121089999999998,-11.04736,-11.04736,15.68604,-108.078,4.553833,-149.2767,47.58333,-10.50833,92.64167,-1
497639,-0.18603519999999998,-1.020996,-0.3769531,3.2958979999999998,-8.361816,-17.39502,-108.4296,4.416504,-148.1781,-20.01667,-3.641667,0.8833333,-1
497889,0.2792969,-0.887207,0.01367188,19.40918,-2.075195,-5.371094,-104.5898,2.9882809999999997,-146.629,-15.80833,-1.4583329999999999,0.6000000000000001,-1
498109,0.03125,-0.8339844,-0.06542969,-2.624512,48.88916,-0.3662109,-104.4196,-0.7910155999999999,-156.9397,-21.375,-2.291667,-0.1416667,-1
498410,0.4316406,-0.9672852,-0.03710938,38.26904,10.43701,-21.97266,-103.0023,-3.482666,-159.0436,35.25,-4.7,88.46667,-1
498729,0.03320313,-1.083984,-0.05957031,21.78955,-46.20361,11.23047,-98.61328,-3.922119,-147.4091,-15.64167,-1.091667,3.5,-1
499019,-0.31689449999999997,-0.9736328,-0.03076172,3.723145,25.32959,20.93506,-92.72461,6.443481,-149.6228,48.36666,-1.266667,78.975,-1
499329,-0.2592773,-1.174316,0.1450195,28.62549,-1.525879,-26.36719,-89.54956,5.943604,-152.7209,45.225,1.3,76.08334,1
499589,0.07128906,-0.9145508,0.23730469999999998,-27.09961,-1.098633,-22.94922,-88.67065,0.03295898,-153.869,-15.125,2.316667,-4.066667,1
499839,0.1533203,-0.7817383,-0.05224609,-17.33398,18.00537,-12.87842,-93.70239,-5.789795,-158.4778,32.18333,-1.75,84.09167,1
500140,0.25,-1.181152,0.23291019999999998,-10.49805,11.2915,22.27783,-97.52014,-2.702637,-161.488,-16.91667,-1.85,-3.15,1
500449,-0.2226563,-0.8994141,-0.2597656,-27.22168,-9.94873,16.35742,-104.0515,5.894165,-159.4171,-12.866670000000001,-6.033333,-0.47500000000000003,1
500749,-0.1040039,-1.213379,0.10107419999999999,38.75732,-41.1377,-29.11377,-104.491,4.449463,-154.7974,-16.225,-1.45,-0.225,1
501119,0.07861328000000001,-0.8500977,-0.34375000000000006,4.882813,-1.8310549999999999,16.47949,-103.1232,-4.812012,-150.8917,37.425,-5.825,90.0,1
501379,-0.23730469999999998,-0.8432617,0.04199219,17.76123,50.72021,37.10938,-101.8982,-1.6149900000000001,-150.639,-15.75,-2.741667,-3.066667,1
501629,-0.08300781,-0.7685546999999999,-0.30908199999999997,-9.338379,-17.76123,0.8544921999999999,-108.2098,6.080933,-149.9634,46.35,-10.325,93.08334,-1
501869,-0.3525391,-1.455566,-0.1679688,12.45117,23.19336,18.49365,-107.677,4.482422,-149.1943,-15.06667,0.1916667,0.8,-1
502109,0.009277344,-0.8378905999999999,-0.1606445,7.93457,28.68652,-40.03906,-104.2383,-0.20324709999999999,-147.5409,-9.25,-1.883333,-0.6916667,-1
502329,0.1572266,-0.8461913999999999,-0.4013672,-1.586914,-18.61572,4.882813,-107.6935,-6.350098,-149.046,36.15,-7.65,92.91666,-1
502579,0.05322266,-1.095215,-0.03710938,3.356934,-19.28711,-2.990723,-104.2163,-3.054199,-148.7494,-16.41667,-0.8416665999999999,2.616667,-1
502850,0.1103516,-0.8334961,0.02832031,49.25537,-51.2085,5.065918,-96.33911,1.30188,-143.9594,45.91667,-1.0,80.04166,-1
503129,-0.06738281,-1.543457,0.04541016,3.112793,-28.68652,40.03906,-89.21997,6.948853,-133.6377,53.64167,-0.8583333999999999,74.65,-1
503429,-0.4375,-0.8447266,0.09765625,-155.3345,264.9536,61.52344,-86.61621,5.993042,-143.5638,-32.81667,-53.925,-46.49166,-1
503669,0.04003906,-0.7783203,0.22509769999999998,109.8022,-27.9541,-22.88818,-68.2196,3.900146,-147.2717,44.38334,7.691667,55.29167,-1
503949,-0.1630859,-1.07373,0.2470703,-20.32471,20.99609,24.16992,-78.98071,5.147095,-151.3531,44.88334,5.283333,67.05833,-1
504239,-0.5878905999999999,-0.43457029999999996,1.013672,-17.08984,32.40967,-33.69141,-82.07886,5.6524659999999995,-154.682,-19.93333,7.258333,0.01666667,1
504489,0.011230470000000001,-1.130371,0.15478519999999998,-26.36719,-11.47461,-22.94922,-90.3186,0.8789062999999999,-155.7916,-16.0,1.95,-2.591667,1
505869,0.1801758,-0.8823242,-0.21875000000000003,9.094238,7.202148,10.55908,-102.1124,-4.943848,-150.4303,36.14167,-4.616667,87.16666,1
506139,-0.1176758,-1.018066,0.05566406,7.324219,22.94922,35.03418,-101.5631,-2.290649,-152.8638,-15.18333,-2.291667,-2.941667,1
506419,-0.1635742,-0.8896484,-0.2460938,-13.00049,-6.896973,13.61084,-107.243,5.20752,-150.0952,-13.43333,-6.175,1.016667,1
506649,-0.15917969999999998,-1.239746,-0.1118164,16.6626,-6.774902,-18.98193,-106.4026,4.647217,-148.7769,-22.74167,-2.316667,3.65,1
506839,0.12060549999999999,-0.9189453,-0.02148438,-13.3667,22.33887,-22.52197,-102.3376,1.642456,-148.1781,-13.991670000000001,-0.2333333,-0.44166669999999997,1
507049,-0.002929688,-0.7060546999999999,0.01367188,0.3051758,3.845215,-14.09912,-103.2166,-4.064941,-149.9249,-15.525,-3.875,0.17500000000000002,1
507260,0.017089840000000002,-1.529297,-0.168457,11.84082,-35.03418,7.507324,-103.288,-2.285156,-148.9581,39.54167,-5.45,86.85,1
507499,-0.1171875,-0.8364258,-0.03613281,-16.90674,-8.117676,26.7334,-102.7222,1.867676,-149.5349,-12.5,-0.8,-2.75,1
507749,-0.1337891,-0.9121094,-0.2231445,-9.765625,-6.835938,10.86426,-106.8201,5.822754,-148.7164,-14.45,-5.641667,0.9833333999999999,1
507969,-0.1831055,-1.152344,-0.022460940000000002,19.16504,-10.74219,-17.45605,-105.2106,4.367065,-146.0962,46.425,-7.483333,87.15,1
508209,0.01171875,-0.9052734,-0.04394531,0.0,22.58301,-28.13721,-103.2495,-0.7250977,-147.1564,-11.875,-0.25,1.5833329999999999,1
508479,0.19775389999999998,-0.9077147999999999,-0.17822269999999998,3.601074,-1.342773,-19.71436,-103.3484,-4.790039,-146.9586,-14.14167,-4.833333,-0.2666667,1
508699,-0.06445313,-1.100586,0.06591797,26.30615,19.22607,31.49414,-103.1396,-2.510376,-148.678,-12.55,-1.258333,-2.358333,1
508970,-0.22851559999999999,-0.8608397999999999,-0.2045898,-17.76123,4.516602,24.53613,-107.287,5.240479,-149.4196,46.59167,-9.366667,89.975,1
509279,-0.25488279999999996,-1.212891,-0.1845703,10.19287,2.807617,-21.3623,-108.1439,5.50415,-149.6942,-22.35833,-1.725,1.341667,1
509519,0.044921880000000004,-0.9023437999999999,-0.026367190000000002,-0.9765625,19.22607,-31.61621,-104.4086,-0.4833984,-148.9636,-12.84167,0.1833333,3.291667,1
509789,0.2924805,-0.7617187999999999,-0.21386719999999998,-1.159668,2.380371,19.59229,-103.5516,-4.75708,-143.6737,41.79167,-4.258333,85.73333,1
510069,-0.001953125,-1.22998,0.09912109000000001,12.69531,29.66309,31.98242,-103.8647,-1.6149900000000001,-145.5359,-14.26667,-0.55,-2.7,1
510309,-0.24902339999999998,-0.8203125,-0.2011719,-18.55469,2.01416,19.9585,-108.2043,6.619263,-146.5576,51.75834,-10.60833,89.45834,1
510649,-0.41943359999999996,-1.4760739999999999,-0.23339839999999998,2.807617,19.53125,0.3051758,-110.4181,5.575562,-145.036,-12.625,0.9,2.125,1
510899,0.01171875,-0.6811522999999999,-0.04638672,3.90625,3.845215,-23.98682,-106.062,-1.922607,-141.7841,47.94167,-6.075,87.85,1
511129,0.1645508,-0.9472655999999999,-0.2460938,-0.3051758,15.38086,22.82715,-105.8258,-4.619751,-142.5201,-24.075,-1.141667,0.7166667,1
